CREATEDAT,CREATEDBY,MODIFIEDAT,MODIFIEDBY,code ,description,department_code
0010-10-20 22:00:00.000000000,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000000,juan.isaza@giproyectos.com,91263,El Encanto,91
0010-10-20 22:00:00.000000001,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000001,juan.isaza@giproyectos.com,91405,La Chorrera,91
0010-10-20 22:00:00.000000002,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000002,juan.isaza@giproyectos.com,91407,La Pedrera,91
0010-10-20 22:00:00.000000003,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000003,juan.isaza@giproyectos.com,76403,La Victoria,91
0010-10-20 22:00:00.000000004,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000004,juan.isaza@giproyectos.com,91001,Leticia,91
0010-10-20 22:00:00.000000005,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000005,juan.isaza@giproyectos.com,9146,Miriti Paraná,91
0010-10-20 22:00:00.000000006,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000006,juan.isaza@giproyectos.com,9153,Puerto Alegría,91
0010-10-20 22:00:00.000000007,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000007,juan.isaza@giproyectos.com,91536,Puerto Arica,91
0010-10-20 22:00:00.000000008,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000008,juan.isaza@giproyectos.com,9154,Puerto Nariño,91
0010-10-20 22:00:00.000000009,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000009,juan.isaza@giproyectos.com,54553,Puerto Santander,91
0010-10-20 22:00:00.000000010,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000010,juan.isaza@giproyectos.com,91798,Tarapacá,91
0010-10-20 22:00:00.000000011,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000011,juan.isaza@giproyectos.com,5002,Abejorral,5
0010-10-20 22:00:00.000000012,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000012,juan.isaza@giproyectos.com,5004,Abriaquí,5
0010-10-20 22:00:00.000000013,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000013,juan.isaza@giproyectos.com,5021,Alejandría,5
0010-10-20 22:00:00.000000014,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000014,juan.isaza@giproyectos.com,503,Amagá,5
0010-10-20 22:00:00.000000015,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000015,juan.isaza@giproyectos.com,5031,Amalfi,5
0010-10-20 22:00:00.000000016,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000016,juan.isaza@giproyectos.com,5034,Andes,5
0010-10-20 22:00:00.000000017,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000017,juan.isaza@giproyectos.com,5036,Angelópolis,5
0010-10-20 22:00:00.000000018,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000018,juan.isaza@giproyectos.com,5038,Angostura,5
0010-10-20 22:00:00.000000019,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000019,juan.isaza@giproyectos.com,504,Anorí,5
0010-10-20 22:00:00.000000020,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000020,juan.isaza@giproyectos.com,5044,Anza,5
0010-10-20 22:00:00.000000021,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000021,juan.isaza@giproyectos.com,5045,Apartadó,5
0010-10-20 22:00:00.000000022,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000022,juan.isaza@giproyectos.com,5051,Arboletes,5
0010-10-20 22:00:00.000000023,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000023,juan.isaza@giproyectos.com,5055,Argelia,5
0010-10-20 22:00:00.000000024,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000024,juan.isaza@giproyectos.com,5059,Armenia,5
0010-10-20 22:00:00.000000025,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000025,juan.isaza@giproyectos.com,5079,Barbosa,5
0010-10-20 22:00:00.000000026,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000026,juan.isaza@giproyectos.com,5088,Bello,5
0010-10-20 22:00:00.000000027,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000027,juan.isaza@giproyectos.com,5086,Belmira,5
0010-10-20 22:00:00.000000028,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000028,juan.isaza@giproyectos.com,5091,Betania,5
0010-10-20 22:00:00.000000029,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000029,juan.isaza@giproyectos.com,5093,Betulia,5
0010-10-20 22:00:00.000000030,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000030,juan.isaza@giproyectos.com,5107,Briceño,5
0010-10-20 22:00:00.000000031,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000031,juan.isaza@giproyectos.com,5113,Buriticá,5
0010-10-20 22:00:00.000000032,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000032,juan.isaza@giproyectos.com,512,Cáceres,5
0010-10-20 22:00:00.000000033,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000033,juan.isaza@giproyectos.com,5125,Caicedo,5
0010-10-20 22:00:00.000000034,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000034,juan.isaza@giproyectos.com,5129,Caldas,5
0010-10-20 22:00:00.000000035,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000035,juan.isaza@giproyectos.com,5134,Campamento,5
0010-10-20 22:00:00.000000036,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000036,juan.isaza@giproyectos.com,5138,Cañasgordas,5
0010-10-20 22:00:00.000000037,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000037,juan.isaza@giproyectos.com,5142,Caracolí,5
0010-10-20 22:00:00.000000038,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000038,juan.isaza@giproyectos.com,5145,Caramanta,5
0010-10-20 22:00:00.000000039,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000039,juan.isaza@giproyectos.com,5147,Carepa,5
0010-10-20 22:00:00.000000040,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000040,juan.isaza@giproyectos.com,515,Carolina,5
0010-10-20 22:00:00.000000041,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000041,juan.isaza@giproyectos.com,5154,Caucasia,5
0010-10-20 22:00:00.000000042,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000042,juan.isaza@giproyectos.com,5172,Chigorodó,5
0010-10-20 22:00:00.000000043,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000043,juan.isaza@giproyectos.com,519,Cisneros,5
0010-10-20 22:00:00.000000044,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000044,juan.isaza@giproyectos.com,5101,Ciudad Bolívar,5
0010-10-20 22:00:00.000000045,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000045,juan.isaza@giproyectos.com,5197,Cocorná,5
0010-10-20 22:00:00.000000046,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000046,juan.isaza@giproyectos.com,5206,Concepción,5
0010-10-20 22:00:00.000000047,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000047,juan.isaza@giproyectos.com,5209,Concordia,5
0010-10-20 22:00:00.000000048,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000048,juan.isaza@giproyectos.com,5212,Copacabana,5
0010-10-20 22:00:00.000000049,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000049,juan.isaza@giproyectos.com,5234,Dabeiba,5
0010-10-20 22:00:00.000000050,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000050,juan.isaza@giproyectos.com,5237,Don Matías,5
0010-10-20 22:00:00.000000051,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000051,juan.isaza@giproyectos.com,524,Ebéjico,5
0010-10-20 22:00:00.000000052,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000052,juan.isaza@giproyectos.com,525,El Bagre,5
0010-10-20 22:00:00.000000053,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000053,juan.isaza@giproyectos.com,5148,El Carmen de Viboral,5
0010-10-20 22:00:00.000000054,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000054,juan.isaza@giproyectos.com,5697,El Santuario,5
0010-10-20 22:00:00.000000055,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000055,juan.isaza@giproyectos.com,5264,Entrerrios,5
0010-10-20 22:00:00.000000056,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000056,juan.isaza@giproyectos.com,5266,Envigado,5
0010-10-20 22:00:00.000000057,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000057,juan.isaza@giproyectos.com,5282,Fredonia,5
0010-10-20 22:00:00.000000058,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000058,juan.isaza@giproyectos.com,5284,Frontino,5
0010-10-20 22:00:00.000000059,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000059,juan.isaza@giproyectos.com,5306,Giraldo,5
0010-10-20 22:00:00.000000060,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000060,juan.isaza@giproyectos.com,5308,Girardota,5
0010-10-20 22:00:00.000000061,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000061,juan.isaza@giproyectos.com,531,Gómez Plata,5
0010-10-20 22:00:00.000000062,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000062,juan.isaza@giproyectos.com,50313,Granada,5
0010-10-20 22:00:00.000000063,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000063,juan.isaza@giproyectos.com,5315,Guadalupe,5
0010-10-20 22:00:00.000000064,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000064,juan.isaza@giproyectos.com,5318,Guarne,5
0010-10-20 22:00:00.000000065,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000065,juan.isaza@giproyectos.com,5321,Guatapé,5
0010-10-20 22:00:00.000000066,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000066,juan.isaza@giproyectos.com,5347,Heliconia,5
0010-10-20 22:00:00.000000067,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000067,juan.isaza@giproyectos.com,5353,Hispania,5
0010-10-20 22:00:00.000000068,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000068,juan.isaza@giproyectos.com,536,Itagui,5
0010-10-20 22:00:00.000000069,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000069,juan.isaza@giproyectos.com,5361,Ituango,5
0010-10-20 22:00:00.000000070,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000070,juan.isaza@giproyectos.com,5364,Jardín,5
0010-10-20 22:00:00.000000071,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000071,juan.isaza@giproyectos.com,5368,Jericó,5
0010-10-20 22:00:00.000000072,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000072,juan.isaza@giproyectos.com,5376,La Ceja,5
0010-10-20 22:00:00.000000073,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000073,juan.isaza@giproyectos.com,538,La Estrella,5
0010-10-20 22:00:00.000000074,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000074,juan.isaza@giproyectos.com,539,La Pintada,5
0010-10-20 22:00:00.000000075,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000075,juan.isaza@giproyectos.com,54,La Unión,5
0010-10-20 22:00:00.000000076,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000076,juan.isaza@giproyectos.com,5411,Liborina,5
0010-10-20 22:00:00.000000077,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000077,juan.isaza@giproyectos.com,5425,Maceo,5
0010-10-20 22:00:00.000000078,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000078,juan.isaza@giproyectos.com,544,Marinilla,5
0010-10-20 22:00:00.000000079,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000079,juan.isaza@giproyectos.com,5001,Medellín,5
0010-10-20 22:00:00.000000080,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000080,juan.isaza@giproyectos.com,5467,Montebello,5
0010-10-20 22:00:00.000000081,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000081,juan.isaza@giproyectos.com,5475,Murindó,5
0010-10-20 22:00:00.000000082,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000082,juan.isaza@giproyectos.com,548,Mutatá,5
0010-10-20 22:00:00.000000083,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000083,juan.isaza@giproyectos.com,5483,Nariño,5
0010-10-20 22:00:00.000000084,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000084,juan.isaza@giproyectos.com,5495,Nechí,5
0010-10-20 22:00:00.000000085,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000085,juan.isaza@giproyectos.com,549,Necoclí,5
