CREATEDAT,CREATEDBY,MODIFIEDAT,MODIFIEDBY,code ,description
0010-10-20 22:00:00.000000000,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000000,juan.isaza@giproyectos.com,5,Antioquia
0010-10-20 22:00:00.000000001,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000001,juan.isaza@giproyectos.com,8,Atlántico
0010-10-20 22:00:00.000000002,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000002,juan.isaza@giproyectos.com,11,Bogotá D.C.
0010-10-20 22:00:00.000000003,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000003,juan.isaza@giproyectos.com,13,Bolívar
0010-10-20 22:00:00.000000004,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000004,juan.isaza@giproyectos.com,15,Boyacá
0010-10-20 22:00:00.000000005,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000005,juan.isaza@giproyectos.com,17,Caldas
0010-10-20 22:00:00.000000006,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000006,juan.isaza@giproyectos.com,18,Caquetá
0010-10-20 22:00:00.000000007,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000007,juan.isaza@giproyectos.com,19,Cauca
0010-10-20 22:00:00.000000008,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000008,juan.isaza@giproyectos.com,20,Cesar
0010-10-20 22:00:00.000000009,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000009,juan.isaza@giproyectos.com,23,Córdoba
0010-10-20 22:00:00.000000010,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000010,juan.isaza@giproyectos.com,25,Cundinamarca
0010-10-20 22:00:00.000000011,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000011,juan.isaza@giproyectos.com,27,Chocó
0010-10-20 22:00:00.000000012,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000012,juan.isaza@giproyectos.com,41,Huila
0010-10-20 22:00:00.000000013,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000013,juan.isaza@giproyectos.com,44,La Guajira
0010-10-20 22:00:00.000000014,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000014,juan.isaza@giproyectos.com,47,Magdalena
0010-10-20 22:00:00.000000015,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000015,juan.isaza@giproyectos.com,50,Meta
0010-10-20 22:00:00.000000016,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000016,juan.isaza@giproyectos.com,52,Nariño
0010-10-20 22:00:00.000000017,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000017,juan.isaza@giproyectos.com,54,Norte de Santander
0010-10-20 22:00:00.000000018,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000018,juan.isaza@giproyectos.com,63,Quindío
0010-10-20 22:00:00.000000019,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000019,juan.isaza@giproyectos.com,66,Risaralda
0010-10-20 22:00:00.000000020,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000020,juan.isaza@giproyectos.com,68,Santander
0010-10-20 22:00:00.000000021,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000021,juan.isaza@giproyectos.com,70,Sucre
0010-10-20 22:00:00.000000022,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000022,juan.isaza@giproyectos.com,73,Tolima
0010-10-20 22:00:00.000000023,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000023,juan.isaza@giproyectos.com,76,Valle del Cauca
0010-10-20 22:00:00.000000024,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000024,juan.isaza@giproyectos.com,81,Arauca
0010-10-20 22:00:00.000000025,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000025,juan.isaza@giproyectos.com,85,Casanare
0010-10-20 22:00:00.000000026,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000026,juan.isaza@giproyectos.com,86,Putumayo
0010-10-20 22:00:00.000000027,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000027,juan.isaza@giproyectos.com,88,"Archipiélago de San Andrés, Providencia y Santa Catalina"
0010-10-20 22:00:00.000000028,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000028,juan.isaza@giproyectos.com,91,Amazonas
0010-10-20 22:00:00.000000029,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000029,juan.isaza@giproyectos.com,94,Guainía
0010-10-20 22:00:00.000000030,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000030,juan.isaza@giproyectos.com,95,Guaviare
0010-10-20 22:00:00.000000031,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000031,juan.isaza@giproyectos.com,97,Vaupés
0010-10-20 22:00:00.000000032,juan.isaza@giproyectos.com,0010-10-20 22:00:00.000000032,juan.isaza@giproyectos.com,99,Vichada
